file,total,train,test
Kia_AF.csv,600000,480000,120000
Kia_DoS_H.csv,532000,425600,106400
Kia_DoS_L.csv,448000,358400,89600
Kia_DoS_LL.csv,432670,346136,86534
Kia_DoS_M.csv,489999,391999,98000
Kia_DoS_R.csv,483253,386602,96651
Kia_Fuzz_H.csv,532000,425600,106400
Kia_Fuzz_L.csv,448000,358400,89600
Kia_Fuzz_LL.csv,432726,346180,86546
Kia_Fuzz_M.csv,489999,391999,98000
Kia_Fuzz_R.csv,483037,386429,96608
Kia_Rep_H.csv,532000,425600,106400
Kia_Rep_L.csv,448000,358400,89600
Kia_Rep_LL.csv,432670,346136,86534
Kia_Rep_M.csv,489999,391999,98000
Kia_Rep_R.csv,482764,386211,96553
