ID,proportion
018A,0.03161031371203926
0108,0.031608664679032214
0186,0.03160701564602517
0031,0.031605366613018125
02D5,0.031603717580011084
0136,0.031603717580011084
0051,0.031603717580011084
0370,0.031603717580011084
0142,0.031603717580011084
0256,0.031602068547004036
0187,0.031602068547004036
0118,0.031602068547004036
01E5,0.031602068547004036
038D,0.031602068547004036
038C,0.031600419513996995
0129,0.031600419513996995
0111,0.031600419513996995
0175,0.031600419513996995
0101,0.03159877048098995
038E,0.0315971214479829
0299,0.01580927943853724
0257,0.015807630405530196
0385,0.015807630405530196
0488,0.01580598137252315
0206,0.01580598137252315
0185,0.01580598137252315
0148,0.015804332339516107
011A,0.015804332339516107
0119,0.015802683306509063
0240,0.015802683306509063
0105,0.015802683306509063
0155,0.015801034273502018
0145,0.015799385240494974
038B,0.015799385240494974
038F,0.015799385240494974
011D,0.015799385240494974
02B9,0.012196248120102372
039D,0.007905464235772144
030A,0.006322392549009261
0221,0.006320743516002216
031A,0.0063190944829951716
03A2,0.006317445449988127
0311,0.003423392522624733
0286,0.0031941769346455237
02E8,0.0031727395055539433
0263,0.003169441439539854
02A8,0.003169441439539854
03A4,0.003169441439539854
03A3,0.003167792406532809
027D,0.0031661433735257643
0104,0.0031661433735257643
04E1,0.00316449434051872
03E1,0.00316449434051872
0222,0.003162845307511675
03A5,0.003162845307511675
0745,0.003162845307511675
04F6,0.003162845307511675
0211,0.0031595472414975858
03A6,0.0031595472414975858
0331,0.0013489089997625393
039B,0.0007453629191841904
0389,0.0006794015989024036
032B,0.0006480699717685549
0267,0.0003248595023877998
0421,0.0003232104693807551
0336,0.0003232104693807551
0392,0.0003199124033666658
04F1,0.0003182633703596211
03D1,0.0003182633703596211
07B6,1.8139363077491358e-05
07D9,1.649033007044669e-05
0053,1.649033007044669e-05
028B,1.649033007044669e-05
0394,1.4841297063402022e-05
013C,1.4841297063402022e-05
0193,1.4841297063402022e-05
06D3,1.4841297063402022e-05
0533,1.3192264056357351e-05
04D9,1.3192264056357351e-05
00AE,1.3192264056357351e-05
06ED,1.3192264056357351e-05
0340,1.3192264056357351e-05
0485,1.3192264056357351e-05
06EF,1.3192264056357351e-05
07E6,1.3192264056357351e-05
00D6,1.3192264056357351e-05
05D4,1.3192264056357351e-05
041B,1.3192264056357351e-05
0089,1.3192264056357351e-05
026F,1.3192264056357351e-05
028D,1.3192264056357351e-05
016F,1.3192264056357351e-05
0295,1.1543231049312682e-05
027B,1.1543231049312682e-05
035D,1.1543231049312682e-05
0652,1.1543231049312682e-05
0752,1.1543231049312682e-05
0304,1.1543231049312682e-05
0617,1.1543231049312682e-05
067B,1.1543231049312682e-05
03D3,1.1543231049312682e-05
02E9,1.1543231049312682e-05
0440,1.1543231049312682e-05
026D,1.1543231049312682e-05
00A3,1.1543231049312682e-05
04A0,1.1543231049312682e-05
0535,1.1543231049312682e-05
033E,1.1543231049312682e-05
077C,1.1543231049312682e-05
00E3,1.1543231049312682e-05
07C0,1.1543231049312682e-05
03D2,1.1543231049312682e-05
051D,1.1543231049312682e-05
0152,1.1543231049312682e-05
0345,1.1543231049312682e-05
01FD,1.1543231049312682e-05
06E9,1.1543231049312682e-05
03E4,1.1543231049312682e-05
013E,1.1543231049312682e-05
0558,1.1543231049312682e-05
07A5,1.1543231049312682e-05
066A,1.1543231049312682e-05
0518,1.1543231049312682e-05
0038,1.1543231049312682e-05
0338,1.1543231049312682e-05
0441,1.1543231049312682e-05
000D,1.1543231049312682e-05
00A0,1.1543231049312682e-05
01C9,1.1543231049312682e-05
059B,1.1543231049312682e-05
0044,1.1543231049312682e-05
0023,1.1543231049312682e-05
001E,1.1543231049312682e-05
061D,1.1543231049312682e-05
019F,1.1543231049312682e-05
03BB,1.1543231049312682e-05
0739,1.1543231049312682e-05
0273,1.1543231049312682e-05
0658,1.1543231049312682e-05
06F3,1.1543231049312682e-05
07BE,1.1543231049312682e-05
05D1,9.894198042268013e-06
04BE,9.894198042268013e-06
05D5,9.894198042268013e-06
0099,9.894198042268013e-06
03ED,9.894198042268013e-06
067D,9.894198042268013e-06
00EA,9.894198042268013e-06
079E,9.894198042268013e-06
04CF,9.894198042268013e-06
036F,9.894198042268013e-06
04BA,9.894198042268013e-06
0465,9.894198042268013e-06
01DD,9.894198042268013e-06
0207,9.894198042268013e-06
00A8,9.894198042268013e-06
01C2,9.894198042268013e-06
04EB,9.894198042268013e-06
0296,9.894198042268013e-06
0650,9.894198042268013e-06
0780,9.894198042268013e-06
064D,9.894198042268013e-06
0594,9.894198042268013e-06
065F,9.894198042268013e-06
0132,9.894198042268013e-06
07C5,9.894198042268013e-06
0715,9.894198042268013e-06
00AC,9.894198042268013e-06
0778,9.894198042268013e-06
